"CUSIP.NO";"X";"ISSUER.NAME";"ISSUER.DESCRIPTION";"STATUS"
"351858 95 5";"";"FRANCO NEVADA CORP";"PUT";""
"353469 10 9";"*";"FRANKLIN COVEY CO";"COM";""
"353469 90 9";"";"FRANKLIN COVEY CO";"CALL";""
"353469 95 9";"";"FRANKLIN COVEY CO";"PUT";""
"353506 10 8";"";"FRANKLIN ETF TR";"LIBERTY SHRT ETF";""
"353514 10 2";"*";"FRANKLIN ELEC INC";"COM";""
"353514 90 2";"";"FRANKLIN ELEC INC";"CALL";""
"353514 95 2";"";"FRANKLIN ELEC INC";"PUT";""
"35352P 10 4";"*";"FRANKLIN FINL NETWORK INC";"COM";""
"35352P 90 4";"";"FRANKLIN FINL NETWORK INC";"CALL";""
"35352P 95 4";"";"FRANKLIN FINL NETWORK INC";"PUT";""
"353525 10 8";"";"FRANKLIN FINL SVCS CORP";"COM";"ADDED"
"354613 10 1";"*";"FRANKLIN RES INC";"COM";""
"354613 90 1";"";"FRANKLIN RES INC";"CALL";""
"354613 95 1";"";"FRANKLIN RES INC";"PUT";""
"35471R 10 6";"*";"FRANKLIN STREET PPTYS CORP";"COM";""
"35471R 90 6";"";"FRANKLIN STREET PPTYS CORP";"CALL";""
"35471R 95 6";"";"FRANKLIN STREET PPTYS CORP";"PUT";""
"35472T 10 1";"";"FRANKLIN LTD DURATION INC TR";"COM";""
"35473P 10 8";"";"FRANKLIN TEMPLETON ETF TR";"LIBERTYQ INTL";""
"35473P 20 7";"";"FRANKLIN TEMPLETON ETF TR";"LIBERTYQ EMERG";""
"35473P 30 6";"";"FRANKLIN TEMPLETON ETF TR";"LIBERTYQ GBL";""
"35473P 40 5";"";"FRANKLIN TEMPLETON ETF TR";"LIBERTYQ EQUTY";""
"35473P 50 4";"";"FRANKLIN TEMPLETON ETF TR";"LIBERTY US ETF";""
"35473P 56 1";"";"FRANKLIN TEMPLETON ETF TR";"FTSE LATN AMRC";""
"35473P 57 9";"";"FRANKLIN TEMPLETON ETF TR";"FTSE SOUTH AFR";""
"35473P 58 7";"";"FRANKLIN TEMPLETON ETF TR";"FTSE SAUDI ARB";""
"35473P 59 5";"";"FRANKLIN TEMPLETON ETF TR";"LIBERTY SR LN";""
"35473P 60 3";"";"FRANKLIN TEMPLETON ETF TR";"LIBERTY INVT";" "
"35473P 61 1";"";"FRANKLIN TEMPLETON ETF TR";"LIBERTY INTL";" "
"35473P 62 9";"";"FRANKLIN TEMPLETON ETF TR";"LIBERTY HI YLD";" "
"35473P 63 7";"";"FRANKLIN TEMPLETON ETF TR";"FTSE JAPAN HDG";" "
"35473P 64 5";"";"FRANKLIN TEMPLETON ETF TR";"FTSE EUROPE HG";" "
"35473P 65 2";"";"FRANKLIN TEMPLETON ETF TR";"FTSE EUROPE";" "
"35473P 66 0";"";"FRANKLIN TEMPLETON ETF TR";"FRANKLIN ASIA";" "
"35473P 67 8";"";"FRANKLIN TEMPLETON ETF TR";"FTSE UNTD KGDM";" "
"35473P 68 6";"";"FRANKLIN TEMPLETON ETF TR";"FTSE TAIWAN";" "
"35473P 69 4";"";"FRANKLIN TEMPLETON ETF TR";"FRANKLN SWZLND";" "
"35473P 70 2";"";"FRANKLIN TEMPLETON ETF TR";"LIBRT INT OPPT";" "
"35473P 71 0";"";"FRANKLIN TEMPLETON ETF TR";"FTSE SOUTH KOREA";" "
"35473P 72 8";"";"FRANKLIN TEMPLETON ETF TR";"FRANKLIN RUSIA";" "
"35473P 73 6";"";"FRANKLIN TEMPLETON ETF TR";"FTSE MEXICO";" "
"35473P 74 4";"";"FRANKLIN TEMPLETON ETF TR";"FTSE JAPAN ETF";" "
"35473P 75 1";"";"FRANKLIN TEMPLETON ETF TR";"FTSE ITALY ETF";" "
"35473P 76 9";"";"FRANKLIN TEMPLETON ETF TR";"FRANKLIN INDIA";" "
"35473P 77 7";"";"FRANKLIN TEMPLETON ETF TR";"FTSE HONG KONG";" "
"35473P 78 5";"";"FRANKLIN TEMPLETON ETF TR";"FTSE GERMANY";" "
"35473P 79 3";"";"FRANKLIN TEMPLETON ETF TR";"FTSE FRANCE";" "
"35473P 80 1";"";"FRANKLIN TEMPLETON ETF TR";"LIBERTYQ US EQT";" "
"35473P 81 9";"";"FRANKLIN TEMPLETON ETF TR";"FTSE CHINA";" "
"35473P 82 7";"";"FRANKLIN TEMPLETON ETF TR";"FTSE CANADA";" "
"35473P 83 5";"";"FRANKLIN TEMPLETON ETF TR";"FTSE BRAZIL";" "
"35473P 84 3";"";"FRANKLIN TEMPLETON ETF TR";"FTSE AUSTRALIA";" "
"35473P 85 0";"";"FRANKLIN TEMPLETON ETF TR";"LIBERTY MN ETF";" "
"35473P 86 8";"";"FRANKLIN TEMPLETON ETF TR";"LIBERTY INTER";" "
"35473P 87 6";"";"FRANKLIN TEMPLETON ETF TR";"LIBERTYQ US SML";" "
"35473P 88 4";"";"FRANKLIN TEMPLETON ETF TR";"LIBERTYQ US MID";" "
"355145 10 3";"";"FRANKLIN UNVL TR";"SH BEN INT";" "
"356108 10 0";"*";"FREDS INC";"CL A";" "
"356108 90 0";"";"FREDS INC";"CALL";" "
"356108 95 0";"";"FREDS INC";"PUT";" "
"35671D 85 7";"*";"FREEPORT-MCMORAN INC";"CL B";" "
"35671D 90 7";"";"FREEPORT-MCMORAN INC";"CALL";""
"35671D 95 7";"";"FREEPORT-MCMORAN INC";"PUT";""
"357023 10 0";"*";"FREIGHTCAR AMER INC";"COM";""
"357023 90 0";"";"FREIGHTCAR AMER INC";"CALL";""
"357023 95 0";"";"FREIGHTCAR AMER INC";"PUT";""
"358010 10 6";"";"FREQUENCY ELECTRS INC";"COM";""
"358029 10 6";"*";"FRESENIUS MED CARE AG&CO KGA";"SPONSORED ADR";""
"358029 90 6";"";"FRESENIUS MED CARE AG&CO KGA";"CALL";""
"358029 95 6";"";"FRESENIUS MED CARE AG&CO KGA";"PUT";""
"358039 10 5";"*";"FRESHPET INC";"COM";""
"358039 90 5";"";"FRESHPET INC";"CALL";""
"358039 95 5";"";"FRESHPET INC";"PUT";""
"358435 10 5";"";"FRIEDMAN INDS INC";"COM";""
"35904G 10 7";"*";"FRONT YD RESIDENTIAL CORP";"COM";""
"35904G 90 7";"";"FRONT YD RESIDENTIAL CORP";"CALL";""
"35904G 95 7";"";"FRONT YD RESIDENTIAL CORP";"PUT";""
"35905A 10 9";"*";"FRONTDOOR INC";"COM";""
"35905A 90 9";"";"FRONTDOOR INC";"CALL";""
"35905A 95 9";"";"FRONTDOOR INC";"PUT";""
"35905J 10 0";"";"FRONTEO INC";"SPONSORED ADR";""
"35906A 30 6";"*";"FRONTIER COMMUNICATIONS CORP";"COM NEW";""
"35906A 90 6";"";"FRONTIER COMMUNICATIONS CORP";"CALL";""
"35906A 95 6";"";"FRONTIER COMMUNICATIONS CORP";"PUT";""
"35952H 50 2";"*";"FUELCELL ENERGY INC";"COM NEW";"DELETED"
"35952H 90 2";"";"FUELCELL ENERGY INC";"CALL";"DELETED"
"35952H 95 2";"";"FUELCELL ENERGY INC";"PUT";"DELETED"
"35952H 60 1";"*";"FUELCELL ENERGY INC";"COM";"ADDED"
"35952H 90 1";"";"FUELCELL ENERGY INC";"CALL";"ADDED"
"35952H 95 1";"";"FUELCELL ENERGY INC";"PUT";"ADDED"
"359523 10 7";"*";"FUEL TECH INC";"COM";""
"359523 90 7";"";"FUEL TECH INC";"CALL";""
"359523 95 7";"";"FUEL TECH INC";"PUT";""
"359664 10 9";"";"FULGENT GENETICS INC";"COM";""
"359678 10 9";"";"FULL HOUSE RESORTS INC";"COM";""
"359694 10 6";"*";"FULLER H B CO";"COM";""
"359694 90 6";"";"FULLER H B CO";"CALL";""
"359694 95 6";"";"FULLER H B CO";"PUT";""
"360271 10 0";"*";"FULTON FINL CORP PA";"COM";""
"360271 90 0";"";"FULTON FINL CORP PA";"CALL";""
"360271 95 0";"";"FULTON FINL CORP PA";"PUT";""
"361008 10 5";"*";"FUNKO INC";"COM CL A";""
"361008 90 5";"";"FUNKO INC";"CALL";""
"361008 95 5";"";"FUNKO INC";"PUT";""
"36116M 10 6";"*";"FUTUREFUEL CORPORATION";"COM";""
"36116M 90 6";"";"FUTUREFUEL CORPORATION";"CALL";""
"36116M 95 6";"";"FUTUREFUEL CORPORATION";"PUT";""
"36116X 10 2";"*";"FUSION CONNECT INC";"COM";"DELETED"
"36116X 90 2";"";"FUSION CONNECT INC";"CALL";"DELETED"
"36116X 95 2";"";"FUSION CONNECT INC";"PUT";"DELETED"
"36117V 10 5";"";"FUTURE FINTECH GROUP INC";"COM";""
"36118L 10 6";"";"FUTU HLDGS LTD";"SPONSORED ADS";""
"36120Q 10 1";"";"FVCBANKCORP INC";"COM";""
"361438 10 4";"";"GAMCO INVESTORS INC";"CL A COM";""
"361448 10 3";"*";"GATX CORP";"COM";""
"361448 90 3";"";"GATX CORP";"CALL";""
"361448 95 3";"";"GATX CORP";"PUT";""
"361570 10 4";"";"GDL FUND";"COM SH BEN IT";""
"36162J 10 6";"*";"GEO GROUP INC NEW";"COM";""
"36162J 90 6";"";"GEO GROUP INC NEW";"CALL";""
"36162J 95 6";"";"GEO GROUP INC NEW";"PUT";""
"36164V 30 5";"*";"GCI LIBERTY INC";"COM CLASS A";""
"36164V 90 5";"";"GCI LIBERTY INC";"CALL";""
"36164V 95 5";"";"GCI LIBERTY INC";"PUT";""
"36164Y 10 1";"*";"GCP APPLIED TECHNOLOGIES INC";"COM";""
"36164Y 90 1";"";"GCP APPLIED TECHNOLOGIES INC";"CALL";""
"36164Y 95 1";"";"GCP APPLIED TECHNOLOGIES INC";"PUT";""
"36165A 10 2";"";"GEE GROUP INC";"COM";""
"36165L AB 4";"";"GDS HLDGS LTD";"NOTE  2.000% 6/0";"ADDED"
"36165L 10 8";"*";"GDS HLDGS LTD";"SPONSORED ADS";" "
"36165L 90 8";"";"GDS HLDGS LTD";"CALL";" "
"36165L 95 8";"";"GDS HLDGS LTD";"PUT";" "
"36191G AB 3";"";"GNC HLDGS INC";"NOTE  1.500% 8/1";" "
"36191G 10 7";"*";"GNC HLDGS INC";"COM CL A";" "
"36191G 90 7";"";"GNC HLDGS INC";"CALL";" "
"36191G 95 7";"";"GNC HLDGS INC";"PUT";" "
"36191J AC 5";"";"GSV CAP CORP";"NOTE  4.750% 3/2";" "
"36191J 10 1";"*";"GSV CAP CORP";"COM";" "
"36191J 90 1";"";"GSV CAP CORP";"CALL";" "
"36191J 95 1";"";"GSV CAP CORP";"PUT";" "
"36192A 10 9";"";"GWG HLDGS INC";"COM";" "
"36197T 10 3";"*";"GW PHARMACEUTICALS PLC";"ADS";" "
"36197T 90 3";"";"GW PHARMACEUTICALS PLC";"CALL";" "
"36197T 95 3";"";"GW PHARMACEUTICALS PLC";"PUT";" "
"3621LQ 10 9";"*";"G1 THERAPEUTICS INC";"COM";" "
"3621LQ 90 9";"";"G1 THERAPEUTICS INC";"CALL";" "
"3621LQ 95 9";"";"G1 THERAPEUTICS INC";"PUT";" "
"36225V 10 4";"*";"GP STRATEGIES CORP";"COM";" "
"36225V 90 4";"";"GP STRATEGIES CORP";"CALL";" "
"36225V 95 4";"";"GP STRATEGIES CORP";"PUT";" "
"36227K 10 6";"";"GSE SYS INC";"COM";" "
"362273 10 4";"";"GS FIN CORP";"ETN CLAYMORE37";" "
"362273 30 2";"";"GS FIN CORP";"MEDIUM TERM NTS";" "
"36237H 10 1";"*";"G-III APPAREL GROUP LTD";"COM";" "
"36237H 90 1";"";"G-III APPAREL GROUP LTD";"CALL";" "
"36237H 95 1";"";"G-III APPAREL GROUP LTD";"PUT";" "
"36239Q 10 9";"";"GABELLI MULTIMEDIA TR INC";"COM";" "
"362393 10 0";"*";"GTT COMMUNICATIONS INC";"COM";" "
"362393 90 0";"";"GTT COMMUNICATIONS INC";"CALL";" "
"362393 95 0";"";"GTT COMMUNICATIONS INC";"PUT";" "
"362397 10 1";"";"GABELLI EQUITY TR INC";"COM";" "
"36240A 10 1";"";"GABELLI UTIL TR";"COM";" "
"36240B 10 9";"";"GABELLI CONV&INCOM SECS FD I";"COM";" "
"362409 10 4";"";"GTY TECHNOLOGY HOLDINGS INC";"COM";""
"362409 11 2";"";"GTY TECHNOLOGY HOLDINGS INC";"*W EXP 02/19/202";"DELETED"
"36241U 10 6";"*";"GSI TECHNOLOGY";"COM";""
"36241U 90 6";"";"GSI TECHNOLOGY";"CALL";""
"36241U 95 6";"";"GSI TECHNOLOGY";"PUT";""
"36242H 10 4";"";"GABELLI DIVD & INCOME TR";"COM";""
"36242L 10 5";"";"GABELLI GLOBL UTIL & INCOME";"COM SH BEN INT";""
"36246K 10 3";"";"GABELLI HLTHCARE & WELLNESS";"SHS";""
"36249W 10 4";"";"GABELLI GLB SML & MD CP VAL";"COM";""
"36250J 10 9";"";"GABELLI GO ANYWHERE TR";"COM";""
"36251A 20 6";"";"GX ACQUISITION CORP";"UNIT 05/24/2026";"ADDED"
"36251C 10 3";"*";"GMS INC";"COM";""
"36251C 90 3";"";"GMS INC";"CALL";""
"36251C 95 3";"";"GMS INC";"PUT";""
"36255F 10 2";"";"GS ACQUISITION HLDGS CORP";"COM CL A";""
"36255F 11 0";"";"GS ACQUISITION HLDGS CORP";"*W EXP 06/12/202";""
"36255F 20 1";"";"GS ACQUISITION HLDGS CORP";"UNIT 06/12/2023";""
"36257Y 10 9";"";"GSX TECHEDU INC";"SPONSORED ADS";"ADDED"
"36268W AF 7";"";"GAIN CAP HLDGS INC";"NOTE  5.000% 8/1";""
"36268W 10 0";"*";"GAIN CAP HLDGS INC";"COM";""
"36268W 90 0";"";"GAIN CAP HLDGS INC";"CALL";""
"36268W 95 0";"";"GAIN CAP HLDGS INC";"PUT";""
"36269P 10 4";"*";"GAIA INC NEW";"CL A";""
"36269P 90 4";"";"GAIA INC NEW";"CALL";""
"36269P 95 4";"";"GAIA INC NEW";"PUT";""
"36315X 10 1";"*";"GALAPAGOS NV";"SPON ADR";""
"36315X 90 1";"";"GALAPAGOS NV";"CALL";""
"36315X 95 1";"";"GALAPAGOS NV";"PUT";""
"363225 20 2";"*";"GALECTIN THERAPEUTICS INC";"COM NEW";""
"363225 90 2";"";"GALECTIN THERAPEUTICS INC";"CALL";""
"363225 95 2";"";"GALECTIN THERAPEUTICS INC";"PUT";""
"363576 10 9";"*";"GALLAGHER ARTHUR J & CO";"COM";""
"363576 90 9";"";"GALLAGHER ARTHUR J & CO";"CALL";""
"363576 95 9";"";"GALLAGHER ARTHUR J & CO";"PUT";""
"36465A 10 9";"";"GAMCO GLOBAL GOLD NAT RES &";"COM SH BEN INT";""
"36465E 10 1";"";"GAMCO NAT RES GOLD & INCOME";"SH BEN INT";""
"36467A 10 7";"";"GAMING PARTNERS INTL CORP";"COM";"DELETED"
"36467J 10 8";"*";"GAMING & LEISURE PPTYS INC";"COM";""
"36467J 90 8";"";"GAMING & LEISURE PPTYS INC";"CALL";""
"36467J 95 8";"";"GAMING & LEISURE PPTYS INC";"PUT";""
"36467W 10 9";"*";"GAMESTOP CORP NEW";"CL A";""
"36467W 90 9";"";"GAMESTOP CORP NEW";"CALL";""
"36467W 95 9";"";"GAMESTOP CORP NEW";"PUT";""
"36473H AB 0";"";"GANNETT CO INC";"NOTE  4.750% 4/1";"ADDED"
"36473H 10 4";"*";"GANNETT CO INC";"COM";""
"36473H 90 4";"";"GANNETT CO INC";"CALL";""
"36473H 95 4";"";"GANNETT CO INC";"PUT";""
"364760 10 8";"*";"GAP INC";"COM";""
"364760 90 8";"";"GAP INC";"CALL";""
"364760 95 8";"";"GAP INC";"PUT";""
"36555P 10 7";"*";"GARDNER DENVER HLDGS INC";"COM";""
"36555P 90 7";"";"GARDNER DENVER HLDGS INC";"CALL";""
"36555P 95 7";"";"GARDNER DENVER HLDGS INC";"PUT";""
"366505 10 5";"*";"GARRETT MOTION INC";"COM";""
"366505 90 5";"";"GARRETT MOTION INC";"CALL";""
"366505 95 5";"";"GARRETT MOTION INC";"PUT";""
"366554 10 3";"*";"GARRISON CAP INC";"COM";""
"366554 90 3";"";"GARRISON CAP INC";"CALL";""
"366554 95 3";"";"GARRISON CAP INC";"PUT";""
"366651 10 7";"*";"GARTNER INC";"COM";""
"366651 90 7";"";"GARTNER INC";"CALL";""
"366651 95 7";"";"GARTNER INC";"PUT";""
"368678 10 8";"";"GENCOR INDS INC";"COM";""
"36870A 10 8";"*";"GEMPHIRE THERAPEUTICS INC";"COM";""
"36870A 90 8";"";"GEMPHIRE THERAPEUTICS INC";"CALL";""
"36870A 95 8";"";"GEMPHIRE THERAPEUTICS INC";"PUT";""
"368736 10 4";"*";"GENERAC HLDGS INC";"COM";""
"368736 90 4";"";"GENERAC HLDGS INC";"CALL";""
"368736 95 4";"";"GENERAC HLDGS INC";"PUT";" "
"368802 10 4";"";"GENERAL AMERN INVS INC";"COM";" "
"369550 10 8";"*";"GENERAL DYNAMICS CORP";"COM";" "
"369550 90 8";"";"GENERAL DYNAMICS CORP";"CALL";" "
"369550 95 8";"";"GENERAL DYNAMICS CORP";"PUT";" "
"369604 10 3";"*";"GENERAL ELECTRIC CO";"COM";" "
"369604 90 3";"";"GENERAL ELECTRIC CO";"CALL";" "
"369604 95 3";"";"GENERAL ELECTRIC CO";"PUT";" "
"369822 10 1";"*";"GENERAL FIN CORP DEL";"COM";" "
"369822 90 1";"";"GENERAL FIN CORP DEL";"CALL";" "
"369822 95 1";"";"GENERAL FIN CORP DEL";"PUT";" "
"370334 10 4";"*";"GENERAL MLS INC";"COM";" "
"370334 90 4";"";"GENERAL MLS INC";"CALL";" "
"370334 95 4";"";"GENERAL MLS INC";"PUT";" "
"370373 10 2";"*";"GENERAL MOLY INC";"COM";" "
"370373 90 2";"";"GENERAL MOLY INC";"CALL";" "
"370373 95 2";"";"GENERAL MOLY INC";"PUT";" "
"37045V 10 0";"*";"GENERAL MTRS CO";"COM";" "
"37045V 90 0";"";"GENERAL MTRS CO";"CALL";" "
"37045V 95 0";"";"GENERAL MTRS CO";"PUT";" "
"37045V 12 6";"";"GENERAL MTRS CO";"*W EXP 07/10/201";" "
"371532 10 2";"*";"GENESCO INC";"COM";" "
"371532 90 2";"";"GENESCO INC";"CALL";" "
"371532 95 2";"";"GENESCO INC";"PUT";" "
"371559 10 5";"*";"GENESEE & WYO INC";"CL A";" "
"371559 90 5";"";"GENESEE & WYO INC";"CALL";" "
"371559 95 5";"";"GENESEE & WYO INC";"PUT";" "
"37185R 20 8";"*";"GENETIC TECHNOLOGIES LTD";"SPONSORED ADR";" "
"37185R 90 8";"";"GENETIC TECHNOLOGIES LTD";"CALL";" "
"37185R 95 8";"";"GENETIC TECHNOLOGIES LTD";"PUT";" "
"37185X 10 6";"*";"GENESIS HEALTHCARE INC";"CL A COM";" "
"37185X 90 6";"";"GENESIS HEALTHCARE INC";"CALL";" "
"37185X 95 6";"";"GENESIS HEALTHCARE INC";"PUT";" "
"371901 10 9";"*";"GENTEX CORP";"COM";" "
"371901 90 9";"";"GENTEX CORP";"CALL";""
"371901 95 9";"";"GENTEX CORP";"PUT";""
"371927 10 4";"*";"GENESIS ENERGY L P";"UNIT LTD PARTN";""
"371927 90 4";"";"GENESIS ENERGY L P";"CALL";""
"371927 95 4";"";"GENESIS ENERGY L P";"PUT";""
"372279 10 9";"";"GENFIT S A";"ADS";""
"372284 20 8";"*";"GENIE ENERGY LTD";"CL B";""
"372284 90 8";"";"GENIE ENERGY LTD";"CALL";""
"372284 95 8";"";"GENIE ENERGY LTD";"PUT";""
"37229T 30 1";"";"GENIUS BRANDS INTL INC";"COM PAR";""
"372309 10 4";"*";"GENMARK DIAGNOSTICS INC";"COM";""
"372309 90 4";"";"GENMARK DIAGNOSTICS INC";"CALL";""
"372309 95 4";"";"GENMARK DIAGNOSTICS INC";"PUT";""
"372427 10 4";"*";"GENOCEA BIOSCIENCES INC";"COM";"DELETED"
"372427 90 4";"";"GENOCEA BIOSCIENCES INC";"CALL";"DELETED"
"372427 95 4";"";"GENOCEA BIOSCIENCES INC";"PUT";"DELETED"
"372427 40 1";"*";"GENOCEA BIOSCIENCES INC";"COM NEW";"ADDED"
"372427 90 1";"";"GENOCEA BIOSCIENCES INC";"CALL";"ADDED"
"372427 95 1";"";"GENOCEA BIOSCIENCES INC";"PUT";"ADDED"
"37244C 10 1";"*";"GENOMIC HEALTH INC";"COM";""
"37244C 90 1";"";"GENOMIC HEALTH INC";"CALL";""
"37244C 95 1";"";"GENOMIC HEALTH INC";"PUT";""
"372446 10 4";"";"GENPREX INC";"COM";""
"372460 10 5";"*";"GENUINE PARTS CO";"COM";""
"372460 90 5";"";"GENUINE PARTS CO";"CALL";""
"372460 95 5";"";"GENUINE PARTS CO";"PUT";""
"37247D 10 6";"*";"GENWORTH FINL INC";"COM CL A";""
"37247D 90 6";"";"GENWORTH FINL INC";"CALL";""
"37247D 95 6";"";"GENWORTH FINL INC";"PUT";""
"37253A 10 3";"*";"GENTHERM INC";"COM";""
"37253A 90 3";"";"GENTHERM INC";"CALL";""
"37253A 95 3";"";"GENTHERM INC";"PUT";""
"37364X 10 9";"*";"GEOSPACE TECHNOLOGIES CORP";"COM";""
"37364X 90 9";"";"GEOSPACE TECHNOLOGIES CORP";"CALL";""
"37364X 95 9";"";"GEOSPACE TECHNOLOGIES CORP";"PUT";""
"373737 10 5";"*";"GERDAU S A";"SPON ADR REP PFD";""
"373737 90 5";"";"GERDAU S A";"CALL";""
"373737 95 5";"";"GERDAU S A";"PUT";""
"373865 10 4";"*";"GERMAN AMERN BANCORP INC";"COM";""
"373865 90 4";"";"GERMAN AMERN BANCORP INC";"CALL";""
"373865 95 4";"";"GERMAN AMERN BANCORP INC";"PUT";""
"374163 10 3";"*";"GERON CORP";"COM";""
"374163 90 3";"";"GERON CORP";"CALL";""
"374163 95 3";"";"GERON CORP";"PUT";""
"374297 10 9";"*";"GETTY RLTY CORP NEW";"COM";""
"374297 90 9";"";"GETTY RLTY CORP NEW";"CALL";""
"374297 95 9";"";"GETTY RLTY CORP NEW";"PUT";""
"374396 40 6";"*";"GEVO INC";"COM PAR";""
"374396 90 6";"";"GEVO INC";"CALL";""
"374396 95 6";"";"GEVO INC";"PUT";""
"374689 10 7";"*";"GIBRALTAR INDS INC";"COM";""
"374689 90 7";"";"GIBRALTAR INDS INC";"CALL";""
"374689 95 7";"";"GIBRALTAR INDS INC";"PUT";""
"375036 20 9";"";"GIGCAPITAL2 INC";"UNIT 02/28/2026";"ADDED"
"37518N 10 6";"";"GIGCAPITAL INC";"COM";""
"37518N 11 4";"";"GIGCAPITAL INC";"RIGHT 03/06/2020";""
"37518N 12 2";"";"GIGCAPITAL INC";"*W EXP 06/08/202";""
"37518N 20 5";"";"GIGCAPITAL INC";"UNIT 03/06/2025";""
"375558 10 3";"*";"GILEAD SCIENCES INC";"COM";""
"375558 90 3";"";"GILEAD SCIENCES INC";"CALL";""
"375558 95 3";"";"GILEAD SCIENCES INC";"PUT";""
"375916 10 3";"*";"GILDAN ACTIVEWEAR INC";"COM";""
"375916 90 3";"";"GILDAN ACTIVEWEAR INC";"CALL";""
"375916 95 3";"";"GILDAN ACTIVEWEAR INC";"PUT";""
"37637Q 10 5";"*";"GLACIER BANCORP INC NEW";"COM";""
"37637Q 90 5";"";"GLACIER BANCORP INC NEW";"CALL";""
"37637Q 95 5";"";"GLACIER BANCORP INC NEW";"PUT";""
"376535 10 0";"*";"GLADSTONE CAPITAL CORP";"COM";""
"376535 90 0";"";"GLADSTONE CAPITAL CORP";"CALL";" "
"376535 95 0";"";"GLADSTONE CAPITAL CORP";"PUT";" "
"376536 10 8";"*";"GLADSTONE COML CORP";"COM";" "
"376536 90 8";"";"GLADSTONE COML CORP";"CALL";" "
"376536 95 8";"";"GLADSTONE COML CORP";"PUT";" "
"376546 10 7";"*";"GLADSTONE INVT CORP";"COM";" "
"376546 90 7";"";"GLADSTONE INVT CORP";"CALL";" "
"376546 95 7";"";"GLADSTONE INVT CORP";"PUT";" "
"376549 10 1";"*";"GLADSTONE LD CORP";"COM";" "
"376549 90 1";"";"GLADSTONE LD CORP";"CALL";" "
"376549 95 1";"";"GLADSTONE LD CORP";"PUT";" "
"377316 10 4";"*";"GLATFELTER";"COM";" "
"377316 90 4";"";"GLATFELTER";"CALL";" "
"377316 95 4";"";"GLATFELTER";"PUT";" "
"377322 10 2";"*";"GLAUKOS CORP";"COM";" "
"377322 90 2";"";"GLAUKOS CORP";"CALL";" "
"377322 95 2";"";"GLAUKOS CORP";"PUT";" "
"37733W 10 5";"*";"GLAXOSMITHKLINE PLC";"SPONSORED ADR";" "
"37733W 90 5";"";"GLAXOSMITHKLINE PLC";"CALL";" "
"37733W 95 5";"";"GLAXOSMITHKLINE PLC";"PUT";" "
"377407 10 1";"";"GLEN BURNIE BANCORP";"COM";" "
"37890U 10 8";"*";"GLOBAL BLOOD THERAPEUTICS IN";"COM";" "
"37890U 90 8";"";"GLOBAL BLOOD THERAPEUTICS IN";"CALL";" "
"37890U 95 8";"";"GLOBAL BLOOD THERAPEUTICS IN";"PUT";" "
"378973 AD 3";"";"GLOBALSTAR INC";"NOTE  5.750% 4/0";" "
"378973 40 8";"*";"GLOBALSTAR INC";"COM";" "
"378973 90 8";"";"GLOBALSTAR INC";"CALL";" "
"378973 95 8";"";"GLOBALSTAR INC";"PUT";" "
"379378 20 1";"*";"GLOBAL NET LEASE INC";"COM NEW";" "
"379378 90 1";"";"GLOBAL NET LEASE INC";"CALL";" "
"379378 95 1";"";"GLOBAL NET LEASE INC";"PUT";" "
"37940G 10 9";"*";"GLOBALSCAPE INC";"COM";" "
"37940G 90 9";"";"GLOBALSCAPE INC";"CALL";" "
"37940G 95 9";"";"GLOBALSCAPE INC";"PUT";" "
"37940X 10 2";"*";"GLOBAL PMTS INC";"COM";" "
"37940X 90 2";"";"GLOBAL PMTS INC";"CALL";" "
"37940X 95 2";"";"GLOBAL PMTS INC";"PUT";" "
"37946R 10 9";"*";"GLOBAL PARTNERS LP";"COM UNITS";" "
"37946R 90 9";"";"GLOBAL PARTNERS LP";"CALL";" "
"37946R 95 9";"";"GLOBAL PARTNERS LP";"PUT";" "
"379463 10 2";"";"GLOBAL WTR RES INC";"COM";" "
"37950E 10 1";"";"GLOBAL X FDS";"FTSE NORDIC REG";" "
"37950E 11 9";"";"GLOBAL X FDS";"MSCI SUPR EM ETF";" "
"37950E 12 7";"";"GLOBAL X FDS";"REIT ETF";" "
"37950E 13 5";"";"GLOBAL X FDS";"GBL X JPM ROTA";" "
"37950E 14 3";"";"GLOBAL X FDS";"GBL X JPM EFF";" "
"37950E 19 2";"";"GLOBAL X FDS";"GBL X MSCI PT ET";" "
"37950E 20 0";"*";"GLOBAL X FDS";"GLBX MSCI COLUM";" "
"37950E 90 0";"";"GLOBAL X FDS";"CALL";" "
"37950E 95 0";"";"GLOBAL X FDS";"PUT";" "
"37950E 21 8";"";"GLOBAL X FDS";"MSCI NXT EMRNG";" "
"37950E 22 6";"*";"GLOBAL X FDS";"GLB X MLP ENRG I";" "
"37950E 90 6";"";"GLOBAL X FDS";"CALL";" "
"37950E 95 6";"";"GLOBAL X FDS";"PUT";" "
"37950E 24 2";"";"GLOBAL X FDS";"MSCI CHINA MATRL";" "
"37950E 25 9";"*";"GLOBAL X FDS";"GB MSCI AR ETF";" "
"37950E 90 9";"";"GLOBAL X FDS";"CALL";" "
"37950E 95 9";"";"GLOBAL X FDS";"PUT";" "
"37950E 29 1";"";"GLOBAL X FDS";"GLOBX SUPDV US";" "
"37950E 33 3";"";"GLOBAL X FDS";"GLBX SUPRINC ETF";" "
"37950E 34 1";"*";"GLOBAL X FDS";"GLB X GURU INDEX";" "
